1420558;1285124;461964;394010;1085105;1605422;53350;1085378;742303;1306694;1347946;354479;1660375;136526;660127;851554;880186;1719876;1546401;1707354;1398822;652706;676529;1318295;956497;1031406;1570378;597737;1125434;61750;1789107;567549;766777;1295915;752094;553415;1102875;1485262;1163165;573918;569490;617798;1092811;797906;731770;1706732;1399903;332744;479133;961974;758967;87137;1382402;1531356
996283;1067427;1320525;1443195;184536;1263571;1760995;857195;960903;1278192;1326666;1287906;1341978;879934;185357;172400;1616577;1262832;988891;51796;1225844;26625;262466;280732;598693;1214699;1563213;775617;109073;772841;1708029;1701101;1149577;1791305;815442;860284;1263473;823900;657640;1413737;723908;442287;813876;805104;1680968;314415;240688;824556;1716092;289303;662990;829267;9322;1606871
1677294;68836;1231251;125558;998150;1326205;79921;812917;1442409;925159;272771;305659;300114;47828;810883;1471952;710054;168375;1539174;1086740;1573092;1606353;523688;413443;871491;1205136;619240;1144566;44827;1187422;118361;1617754;650638;1544970;207836;293259;1202400;163292;1025470;454700;127726;727870;457306;1339136;268900;672728;396519;488700;730987;1685973;340397;606545;1185231;168910
116548;1543317;1418110;585556;1004941;896112;1331153;1729275;1020159;753357;586014;364589;1399002;58768;1735841;504427;1294208;1299550;1313883;1051699;488828;794742;749568;1130463;469827;1495720;1755592;1082499;1432089;1605043;147954;1321880;1413924;772228;288618;115389;480144;1062794;1078724;891238;865066;260580;466950;1746639;638176;1391820;215625;213253;1069950;134396;893955;1578387;500493;1723165
1598360;259698;12372;1706378;1064555;1732319;391393;1701335;305744;370749;468647;1563004;81201;1048794;46975;569000;133704;1276183;1617048;207346;477072;535858;123939;1111478;42311;1250279;297772;1601582;1184327;656237;1348968;790826;776250;566175;119523;1567305;522217;954815;1465741;1370228;523980;558156;886823;777958;1757902;50788;559357;1373824;138089;787284;1632123;1507219;386359;659442
1412138;1090868;444767;797855;1313040;1727961;230751;886069;1764591;705768;486983;1484947;370308;1166788;882526;563798;1605172;1665615;64749;115822;867171;599640;842717;1284679;1634081;1630197;393014;922288;985837;65276;622693;586420;594473;536550;705674;1212402;440439;1493369;1548175;724249;1527050;10508;1027295;1427978;249901;1479709;411068;907220;91071;1553645;724472;1577076;1220325;1413752
327920;421002;1111361;924821;1296405;622232;207786;850370;977909;914686;646311;1640055;1537418;217483;1391352;1403565;944545;1203497;490120;249948;1544261;263420;484852;1497536;1140563;188175;418852;402566;1460180;687245;639630;1552173;639380;755057;985387;676755;606089;698015;1158067;1783860;1136827;1034685;1707166;191800;861838;734345;1743195;435701;579913;554367;1781320;952724;889355;1752015
1255358;171443;1706226;78195;1112313;83690;560166;1156371;1377309;326059;231371;174937;753164;54499;456639;79024;824761;211097;1387231;682490;1412198;753839;243150;142725;1075160;314706;482553;774084;1274525;329263;1444946;783704;277727;868353;1608466;1242203;296318;571060;1148748;1556110;1250416;907100;211481;1708314;1507016;919922;1632900;969608;1485554;1275995;1775630;203972;953194;770838
723173;976293;1545794;1697643;898015;55863;882410;207039;336300;682434;904837;363717;1233642;805293;986822;33203;847527;205021;849418;1043175;719480;755894;784959;1670151;1443357;1484636;232517;594484;488513;760751;1493051;1236216;1446021;279309;1390665;1769087;1215255;1112490;1193205;1184889;1035141;1073643;1643435;685618;474555;1282660;176831;540580;1204369;1766447;1707755;1305139;671311;314865
1538906;1065472;206265;1458641;1307612;637938;1405280;296841;714649;1327198;1545051;1746677;395768;1745749;1152961;248919;245467;175604;210196;149622;730120;575385;455797;1146962;437311;30303;1242556;1696946;1190698;967694;766534;712184;1713576;1506938;1261877;1466122;1361298;1696232;462079;908696;1084194;70974;320292;167549;1033468;322734;1169870;778060;1508663;1068523;474842;345748;951557;1585397
